"","d0_11","d0_13","d0_14","d0_2","d0_20","d0_22","d0_3","d0_4","d0_5","d0_6","d0_7","d0_8","d14_10","d14_11","d14_13","d14_14","d14_16","d14_17","d14_20","d14_22","d14_24","d14_25","d14_26","d14_4","d14_5","d14_6","d14_7","d14_8","d7_10","d7_11","d7_12","d7_13","d7_16","d7_17","d7_2","d7_20","d7_22","d7_24","d7_25","d7_26","d7_27","d7_3","d7_4","d7_5","d7_6","d7_7","d7_8"
"d14_24",0.510274534669514,0.613792755691973,0.540842463264984,0.520648548588514,0.481024034616748,0.636727555712073,0.464915806782217,0.458787669701935,0.443857918327637,0.43613751010152,0.687763760795757,0.499178316381326,0.613707986840613,0.578735512898359,0.510179311528794,0.705102561157205,0.442428567446935,0.65636864414325,0.696202048712332,0.516454621583814,0,0.72408150758992,0.525588395444605,0.402466668371934,0.605350646885507,0.432660484779929,0.655351463126469,0.439495727378183,0.53056207029543,0.4452812342029,0.462677885317757,0.539103329187549,0.536093926115006,0.658414104833521,0.730898601829641,0.693891211443289,0.783304131107983,0.471565713009505,0.640219923582398,0.631176586845427,0.596840109858316,0.574394215653761,0.474089154010886,0.485639436093222,0.488263143565187,0.630795404743837,0.633561327636139
"d14_25",0.578034041728224,0.351852881068042,0.757052153804181,0.737987720915508,0.757758893769257,0.844329324284253,0.743194581489141,0.737900909996084,0.730488887313395,0.761087600519365,0.799157083745002,0.7635297794751,0.722581090780944,0.83162805759357,0.77262931940046,0.80918409101024,0.730709868697182,0.707528276669813,0.481758930067394,0.528172448784621,0.72408150758992,0,0.753094441290746,0.755913637737708,0.805863237434861,0.736519797096036,0.77917394741839,0.657789160234444,0.799422058575531,0.746693004928136,0.738618710343041,0.664084025030857,0.7708264544118,0.821283814421228,0.779267387822246,0.200746152146668,0.76343380251001,0.464420543069711,0.48131561986404,0.573717625188145,0.358763509099194,0.796862803319602,0.755854071364147,0.755850268143776,0.759952206249402,0.804652604639932,0.290866785769412
"d14_26",0.540022873442348,0.637625240699743,0.529892406581011,0.437894375196706,0.496653937745264,0.655036265690631,0.490064415208242,0.455506784047406,0.466708352380448,0.501229555805274,0.751301418884704,0.520717488430228,0.708978949847455,0.588771181566771,0.508878160082871,0.80366365746932,0.459369940447519,0.601726563935832,0.720271976411175,0.599818128395261,0.525588395444605,0.753094441290746,0,0.511573461939403,0.534116171116746,0.431120565740586,0.759021467075631,0.506521425608109,0.567879257908804,0.420925808987805,0.447362560497039,0.659476185203709,0.564438219378803,0.642517775467853,0.746442440581878,0.698270149571618,0.726662898565335,0.588967411645819,0.58502761913294,0.539423550238626,0.617158304074518,0.570226889099704,0.502309942385234,0.472367498622419,0.541951243517939,0.773138535306256,0.64811827603382
"d14_4",0.54855326703995,0.633948232107205,0.476578506862287,0.504939149754951,0.527399266067283,0.635366750132689,0.513009560730267,0.505842323110398,0.490396405646433,0.507697069106109,0.720412492838342,0.5549149365047,0.538249670164384,0.623693395582569,0.583473216969988,0.593252916385323,0.482026268210147,0.633258014008224,0.671775389792675,0.518908873675179,0.402466668371934,0.755913637737708,0.511573461939403,0,0.618528259833409,0.482765450290283,0.550292061575035,0.488731446169232,0.586608801275329,0.498034238104054,0.497373331827667,0.452594677373813,0.564170737434936,0.65290636435561,0.67881259312558,0.725108832247387,0.761673669281007,0.573933366033444,0.68505155766742,0.676037174939029,0.656881200231517,0.580178073589735,0.53600130485154,0.528650887348663,0.565423998977339,0.568974398491224,0.672847072177035
"d14_5",0.63142840726246,0.705423196394177,0.593072927342874,0.541128066497292,0.567513079386341,0.690128420365251,0.554832282333229,0.567147916940111,0.573227067198058,0.58702841881329,0.80208188635064,0.586984159811413,0.751566455373689,0.616762464657772,0.628832482383632,0.801827594139239,0.560700874783009,0.662630329630518,0.753917402733156,0.683930986131124,0.605350646885507,0.805863237434861,0.534116171116746,0.618528259833409,0,0.517776379674193,0.767404766928319,0.595560956872963,0.582551096442168,0.549288371786454,0.532536248385739,0.690007748852406,0.608146978111266,0.686415151958985,0.750222165636612,0.766841535462228,0.762104547913621,0.65841547034638,0.685934910495923,0.64330992229415,0.69711679070046,0.626693524145187,0.5414654848364,0.57391694647943,0.560708334908848,0.798442384800888,0.707843680673621
"d14_6",0.477401183535645,0.620069321287966,0.525546964038997,0.449589655714687,0.423105408290663,0.605525462963886,0.391768826342697,0.379000788302024,0.372479204120654,0.470308983619689,0.722588631199081,0.452813532727394,0.726905574001616,0.616509405258126,0.502627334998916,0.795047614677963,0.347086799191977,0.623038037182905,0.729647612112919,0.605900693879672,0.432660484779929,0.736519797096036,0.431120565740586,0.482765450290283,0.517776379674193,0,0.744301248494829,0.387001960799357,0.488189606810548,0.42062234496399,0.390169265210368,0.631458776155441,0.511048749465804,0.602199246158938,0.726068282801334,0.696515819805202,0.755209735259826,0.511603962441411,0.649742463962319,0.613368988163902,0.57512778518508,0.505225613428236,0.410406297335812,0.386751992008107,0.459645644895854,0.743867609793137,0.595970827315681
"d14_7",0.736141538350042,0.794121871743831,0.671169653615562,0.712804970515892,0.721737846068194,0.834156185571186,0.71126804396261,0.717847099651535,0.717520833345588,0.748260388807713,0.771871263551064,0.743660261738729,0.573079926253938,0.863036515682234,0.790856131108433,0.103797535379536,0.719625728468407,0.771507820701772,0.688447538787097,0.661636882576706,0.655351463126469,0.77917394741839,0.759021467075631,0.550292061575035,0.767404766928319,0.744301248494829,0,0.713948052629846,0.806341392011783,0.754049539458606,0.760565146416746,0.367256034833919,0.731853708044159,0.82483576650501,0.529654877606718,0.778442691047852,0.840987996503384,0.724513882041992,0.816973904781499,0.769178811618,0.781112795654046,0.776665802132954,0.729362316769539,0.772315808666028,0.779810559173009,0.249865614598421,0.791866560186059
"d14_8",0.442253894120965,0.55674062413094,0.517231810511153,0.458716754977848,0.469301210960614,0.660102060930218,0.444689482517915,0.438422445770408,0.433571730269387,0.511802405626478,0.745633820512009,0.52013418444188,0.676132918127928,0.65101408898562,0.567684196643993,0.77367376785993,0.36851257530404,0.602463037347686,0.63997481856335,0.505803815916882,0.439495727378183,0.657789160234444,0.506521425608109,0.488731446169232,0.595560956872963,0.387001960799357,0.713948052629846,0,0.536409209201077,0.444961534750907,0.414197443058739,0.533665630038351,0.532855706570508,0.622535298943666,0.726743866747171,0.61501800338935,0.763995769765296,0.453591021989748,0.581380057942727,0.535673044187949,0.557047216759714,0.526510670962851,0.456800787368304,0.452880271990606,0.476907071271201,0.748021533773974,0.531515622821
"d7_10",0.592315849160814,0.635567858176574,0.638970427801235,0.578617124627406,0.533774731094821,0.586640625725383,0.494722381116842,0.49590331519879,0.501794762133196,0.548829133919455,0.752506978665755,0.560072231326479,0.778441435439331,0.615349848149715,0.562702645313926,0.843802456469929,0.507869375628576,0.664547439178775,0.800523558685321,0.682063105522476,0.53056207029543,0.799422058575531,0.567879257908804,0.586608801275329,0.582551096442168,0.488189606810548,0.806341392011783,0.536409209201077,0,0.537032274235701,0.483746578739598,0.676137755938267,0.58058177949633,0.575731323332245,0.79172959970652,0.752100948022789,0.763027892450062,0.568148364063838,0.701536454261288,0.698761884966004,0.638485536311399,0.520856529526259,0.493204437230092,0.462696957398731,0.414792868523468,0.785525306664574,0.681190647963262
"d7_11",0.495631524866107,0.618741481240612,0.521834339513473,0.432800977974396,0.447199741652633,0.62601541484584,0.447481374012639,0.422979950300131,0.419562159901045,0.469727991383328,0.727037156820994,0.494459855704233,0.725186941881398,0.592783091598704,0.516740581921169,0.80088518486301,0.381209359141893,0.62993027773211,0.724271214480221,0.627953888879971,0.4452812342029,0.746693004928136,0.420925808987805,0.498034238104054,0.549288371786454,0.42062234496399,0.754049539458606,0.444961534750907,0.537032274235701,0,0.352670769405372,0.651432904154546,0.539533345341202,0.628828616812508,0.745501233274535,0.705350440871134,0.76187977393232,0.517699643370626,0.610016137645448,0.57811798753642,0.597510072142264,0.582153617483333,0.49563805735233,0.476535550445433,0.476316339764474,0.74487786262813,0.626168339842752
"d7_12",0.498530021710276,0.609315719853269,0.514202283974406,0.424673873917997,0.453618895409945,0.650266355977991,0.446833734322303,0.439812820385289,0.411268815836625,0.513078803036622,0.748826660988938,0.493421133345313,0.732716178176291,0.622509263653596,0.530617496174262,0.808816936652599,0.40051729316497,0.643343175781996,0.731073715265285,0.626603249837431,0.462677885317757,0.738618710343041,0.447362560497039,0.497373331827667,0.532536248385739,0.390169265210368,0.760565146416746,0.414197443058739,0.483746578739598,0.352670769405372,0,0.641232550883335,0.551510984569317,0.598874748282995,0.743597671749372,0.691577959679159,0.767543014511259,0.510907108693594,0.620858433141707,0.571496786912899,0.597198663118525,0.522220500109008,0.447073215969566,0.42767490496353,0.423702414702282,0.773133645526813,0.62001003753765
"d7_13",0.522789877292843,0.564724184633629,0.595191213800771,0.618207520408467,0.6131890241247,0.71321886768309,0.597429901554614,0.611705414884908,0.593989097681333,0.655271760430451,0.746360486421224,0.676510686830982,0.407975500222229,0.743454423237844,0.674914995794533,0.410403187811318,0.611862360357361,0.616349302098641,0.525065556029658,0.406610305811241,0.539103329187549,0.664084025030857,0.659476185203709,0.452594677373813,0.690007748852406,0.631458776155441,0.367256034833919,0.533665630038351,0.676137755938267,0.651432904154546,0.641232550883335,0,0.598473143343761,0.698461247616838,0.635250883221571,0.627302735669465,0.709431432501899,0.540671668309332,0.612677258557391,0.591344218705934,0.606976812757174,0.663443149399843,0.627333227755783,0.650926939460496,0.646995912239219,0.421614032604679,0.615568276954854
"d7_16",0.576813492308503,0.625415319822944,0.563326133488857,0.515560938011169,0.509298626874186,0.624349247207757,0.508306288862808,0.502845336482209,0.509927254147163,0.53202682888537,0.741621284839232,0.582993972124185,0.679899356236455,0.66388429037131,0.550547278717893,0.774489020150681,0.529888661728857,0.647920987940492,0.714310878763302,0.606758267640464,0.536093926115006,0.7708264544118,0.564438219378803,0.564170737434936,0.608146978111266,0.511048749465804,0.731853708044159,0.532855706570508,0.58058177949633,0.539533345341202,0.551510984569317,0.598473143343761,0,0.666560590447986,0.723957263139024,0.732845060175303,0.753038612784065,0.597125837352559,0.671288686606532,0.669775085316611,0.589377256360613,0.593856411474021,0.505430502218789,0.496380441912822,0.528378542055507,0.729691573214045,0.68724673639417
"d7_17",0.606097962044434,0.699047084208116,0.641653724590239,0.646004539917687,0.580028682133416,0.335267558437639,0.600526881690416,0.581521895384886,0.57992031137422,0.678971460828448,0.794440646877672,0.60997869262687,0.815859578408597,0.70370546914166,0.691440066621959,0.874936059574541,0.54934184644651,0.676303419739471,0.85083636867924,0.724879038444629,0.658414104833521,0.821283814421228,0.642517775467853,0.65290636435561,0.686415151958985,0.602199246158938,0.82483576650501,0.622535298943666,0.575731323332245,0.628828616812508,0.598874748282995,0.698461247616838,0.666560590447986,0,0.800285414833599,0.786134833242077,0.779114380742848,0.672750594058774,0.74538580452932,0.764850653763057,0.714960034714239,0.576544562063903,0.545662394658305,0.588769593620792,0.636816273854726,0.836904942074426,0.696421317293247
"d7_2",0.728365890520146,0.794369540638582,0.615669786326216,0.689077609856771,0.714323052099298,0.831458513465294,0.693585974857201,0.714280513668762,0.705739571110725,0.757090018075653,0.789320945824557,0.76018219633466,0.740801630348343,0.861030155062462,0.759939164318214,0.553367089507448,0.696004439039751,0.779784914936278,0.45349859445531,0.738349969039831,0.730898601829641,0.779267387822246,0.746442440581878,0.67881259312558,0.750222165636612,0.726068282801334,0.529654877606718,0.726743866747171,0.79172959970652,0.745501233274535,0.743597671749372,0.635250883221571,0.723957263139024,0.800285414833599,0,0.787955800672868,0.83036569719886,0.752972735081574,0.807131591954948,0.751819119703948,0.753081813224648,0.770031820250035,0.727505312780594,0.731049192918284,0.759868291088896,0.612723714710293,0.773133340232664
