"","ID","calf","diagnostic","day","Sickness","Antibiotic","sample","d","Species","RA","RelAbund","comparison"
"143","d14_5","5","NoResp","h14","Never","Yes","d14_5","14","ASV1377",0,0,"d14"
"144","d14_5","5","NoResp","h14","Never","Yes","d14_5","14","ASV1472",0,0,"d14"
"145","d14_6","6","NoResp","h14","Never","No","d14_6","14","ASV1374",0,0,"d14"
"146","d14_6","6","NoResp","h14","Never","No","d14_6","14","ASV1375",0,0,"d14"
"147","d14_6","6","NoResp","h14","Never","No","d14_6","14","ASV1377",0.00994318181818182,0.994318181818182,"d14"
"148","d14_6","6","NoResp","h14","Never","No","d14_6","14","ASV1472",0,0,"d14"
"149","d14_7","7","NoResp","h14","Never","Yes","d14_7","14","ASV1374",0,0,"d14"
"150","d14_7","7","NoResp","h14","Never","Yes","d14_7","14","ASV1375",0,0,"d14"
"151","d14_7","7","NoResp","h14","Never","Yes","d14_7","14","ASV1377",0,0,"d14"
"152","d14_7","7","NoResp","h14","Never","Yes","d14_7","14","ASV1472",0,0,"d14"
"153","d14_8","8","NoResp","h14","Never","No","d14_8","14","ASV1374",0,0,"d14"
"154","d14_8","8","NoResp","h14","Never","No","d14_8","14","ASV1375",0,0,"d14"
"155","d14_8","8","NoResp","h14","Never","No","d14_8","14","ASV1377",0,0,"d14"
"156","d14_8","8","NoResp","h14","Never","No","d14_8","14","ASV1472",0,0,"d14"
"157","d14_10","10","NoResp","h14","Never","Yes","d14_10","14","ASV1374",0,0,"d14"
"158","d14_10","10","NoResp","h14","Never","Yes","d14_10","14","ASV1375",0,0,"d14"
"159","d14_10","10","NoResp","h14","Never","Yes","d14_10","14","ASV1377",0,0,"d14"
"160","d14_10","10","NoResp","h14","Never","Yes","d14_10","14","ASV1472",0,0,"d14"
"161","d14_11","11","NoResp","h14","Never","No","d14_11","14","ASV1374",0,0,"d14"
"162","d14_11","11","NoResp","h14","Never","No","d14_11","14","ASV1375",0,0,"d14"
"163","d14_11","11","NoResp","h14","Never","No","d14_11","14","ASV1377",0,0,"d14"
"164","d14_11","11","NoResp","h14","Never","No","d14_11","14","ASV1472",0,0,"d14"
"165","d14_12","12","NoResp","h14","Never","No","d14_12","14","ASV1374",0,0,"d14"
"166","d14_12","12","NoResp","h14","Never","No","d14_12","14","ASV1375",0,0,"d14"
"167","d14_12","12","NoResp","h14","Never","No","d14_12","14","ASV1377",0,0,"d14"
"168","d14_12","12","NoResp","h14","Never","No","d14_12","14","ASV1472",0,0,"d14"
"169","d14_13","13","NoResp","h14","Never","No","d14_13","14","ASV1374",0,0,"d14"
"170","d14_13","13","NoResp","h14","Never","No","d14_13","14","ASV1375",0,0,"d14"
"171","d14_13","13","NoResp","h14","Never","No","d14_13","14","ASV1377",0,0,"d14"
"172","d14_13","13","NoResp","h14","Never","No","d14_13","14","ASV1472",0,0,"d14"
"173","d14_14","14","NoResp","h14","Never","No","d14_14","14","ASV1374",0,0,"d14"
"174","d14_14","14","NoResp","h14","Never","No","d14_14","14","ASV1375",0.000533333333333333,0.0533333333333333,"d14"
"175","d14_14","14","NoResp","h14","Never","No","d14_14","14","ASV1377",0,0,"d14"
"176","d14_14","14","NoResp","h14","Never","No","d14_14","14","ASV1472",0,0,"d14"
"177","d14_16","16","NoResp","h14","Never","Yes","d14_16","14","ASV1374",0,0,"d14"
"178","d14_16","16","NoResp","h14","Never","Yes","d14_16","14","ASV1375",0.00110987791342952,0.110987791342952,"d14"
"179","d14_16","16","NoResp","h14","Never","Yes","d14_16","14","ASV1377",0,0,"d14"
"180","d14_16","16","NoResp","h14","Never","Yes","d14_16","14","ASV1472",0,0,"d14"
"181","d14_17","17","NoResp","h14","Never","No","d14_17","14","ASV1374",0,0,"d14"
"182","d14_17","17","NoResp","h14","Never","No","d14_17","14","ASV1375",0.00374933047670059,0.374933047670059,"d14"
"183","d14_17","17","NoResp","h14","Never","No","d14_17","14","ASV1377",0,0,"d14"
"184","d14_17","17","NoResp","h14","Never","No","d14_17","14","ASV1472",0,0,"d14"
"185","d14_20","20","NoResp","h14","Never","No","d14_20","14","ASV1374",0,0,"d14"
"186","d14_20","20","NoResp","h14","Never","No","d14_20","14","ASV1375",0,0,"d14"
"187","d14_20","20","NoResp","h14","Never","No","d14_20","14","ASV1377",0,0,"d14"
"188","d14_20","20","NoResp","h14","Never","No","d14_20","14","ASV1472",0,0,"d14"
"189","d14_22","22","NoResp","h14","Never","No","d14_22","14","ASV1374",0,0,"d14"
"190","d14_22","22","NoResp","h14","Never","No","d14_22","14","ASV1375",0.00160599571734475,0.160599571734475,"d14"
"191","d14_22","22","NoResp","h14","Never","No","d14_22","14","ASV1377",0,0,"d14"
"192","d14_22","22","NoResp","h14","Never","No","d14_22","14","ASV1472",0,0,"d14"
"193","d14_24","24","NoResp","h14","Never","Yes","d14_24","14","ASV1374",0,0,"d14"
"194","d14_24","24","NoResp","h14","Never","Yes","d14_24","14","ASV1375",0,0,"d14"
"195","d14_24","24","NoResp","h14","Never","Yes","d14_24","14","ASV1377",0,0,"d14"
"196","d14_24","24","NoResp","h14","Never","Yes","d14_24","14","ASV1472",0,0,"d14"
"197","d14_25","25","NoResp","h14","Never","No","d14_25","14","ASV1374",0,0,"d14"
"198","d14_25","25","NoResp","h14","Never","No","d14_25","14","ASV1375",0.000535331905781585,0.0535331905781585,"d14"
"199","d14_25","25","NoResp","h14","Never","No","d14_25","14","ASV1377",0,0,"d14"
"200","d14_25","25","NoResp","h14","Never","No","d14_25","14","ASV1472",0,0,"d14"
"201","d14_26","26","NoResp","h14","Never","Yes","d14_26","14","ASV1374",0,0,"d14"
"202","d14_26","26","NoResp","h14","Never","Yes","d14_26","14","ASV1375",0,0,"d14"
"203","d14_26","26","NoResp","h14","Never","Yes","d14_26","14","ASV1377",0,0,"d14"
"204","d14_26","26","NoResp","h14","Never","Yes","d14_26","14","ASV1472",0,0,"d14"
